FUNÇÃO GERAL,ESCOLARIDADE INC. TITULACAO,Nº DE SERVIDORES
PROFESSOR TITULAR,DOUTORADO,6
PROFESSOR TITULAR,MESTRADO,2
TOTAL,NÃO INFORMADO,8
PROFESSOR ASSOCIADO,DOUTORADO,174
PROFESSOR ASSOCIADO,POS-DOUTORADO,1
TOTAL,NÃO INFORMADO,175
PROFESSOR ADJUNTO,DOUTORADO,746
PROFESSOR ADJUNTO,ESPECIALIZACAO,4
PROFESSOR ADJUNTO,MESTRADO,47
PROFESSOR ADJUNTO,POS-DOUTORADO,1
TOTAL,NÃO INFORMADO,798
PROFESSOR ASSISTENTE,DOUTORADO,14
PROFESSOR ASSISTENTE,ESPECIALIZACAO,8
PROFESSOR ASSISTENTE,MESTRADO,168
PROFESSOR ASSISTENTE,SUPERIOR COMPLETO,1
TOTAL,NÃO INFORMADO,191
PROFESSOR AUXILIAR,DOUTORADO,1
PROFESSOR AUXILIAR,ESPECIALIZACAO,63
PROFESSOR AUXILIAR,MESTRADO,4
TOTAL,NÃO INFORMADO,68
TOTAL GERAL,NÃO INFORMADO,1240
